X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-82.9461745999999,42.3103068,319877696,3191,Licensed Lab and Specimen Collection Centre Locations,Licensed Specimen Collection Centre Location,LifeLabs,,,,6505 Tecumseh Road East,,Practice Address,Windsor,N8T1E6,2024/06/25 13:37:58+00,2024/06/25 11:39:02+00,2024/06/25 21:54:59+00,2067201
-79.2989786,43.8630114,319888166,T0202,Licenced Retirement Home,,Sunrise Senior Living of Unionville,,,,38 Swansea Road,,,Markham,L3R5K2,2024/06/25 13:35:03+00,2024/06/25 12:04:00+00,2024/06/25 21:54:59+00,2067217
-79.6820815,43.5238565,319884791,7335635,Pharmacy,Retail Pharmacy,Green Bay Pharmacy & Med.Ctr.,,,,3015 Winston Churchill Boulevard,,,Mississauga,L5L2V8,2024/06/25 13:37:11+00,2024/06/25 11:54:31+00,2024/06/25 21:54:59+00,2067233
-81.2144961,43.0213916,319877789,3330,Long-Term Care Home,For-Profit,Kensington Village,,,,1340 Huron Street,,,London,N5V3R3,2024/06/25 13:37:56+00,2024/06/25 11:39:16+00,2024/06/25 21:54:59+00,2067249
-79.8770015,43.2362535,319885181,7831750,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #752,,,,661 Upper James Street,,,Hamilton,L9C5R8,2024/06/25 13:33:35+00,2024/06/25 11:55:30+00,2024/06/25 21:54:59+00,2067265
-78.9093757,43.8873214,319878829,4347,Community Support Services,,Personal Attendant Care Inc.,,Whitby Personal Attendant Care Inc.,,1650 Dundas Street East,Suite 200,,Whitby,L1N2K8,2024/06/25 13:36:34+00,2024/06/25 11:41:44+00,2024/06/25 21:54:59+00,2067281
-75.6613867,45.367892,319884445,6934990,Pharmacy,Retail Pharmacy,Bank Street Medical Pharmacy,,,,1935 Bank Street,,,Ottawa,K1V8A3,2024/06/25 13:35:32+00,2024/06/25 11:53:46+00,2024/06/25 21:54:59+00,2067297
-79.7873692,47.0626989,319876717,141,Family Health Team,Site,Temagami Medical Centre and Family Health Team,,,,17 O'Connor Drive,Postal Office Box 98,,Temagami,P0H2H0,2024/06/25 13:38:05+00,2024/06/25 11:36:47+00,2024/06/25 21:54:59+00,2067313
-79.6175845,43.6426974,319885607,8337356,Pharmacy,Retail Pharmacy,Central Pharmacy Services 6900,,,,1685 Tech Ave,,,Mississauga,L4W5P5,2024/06/25 13:35:24+00,2024/06/25 11:56:23+00,2024/06/25 21:54:59+00,2067329
-79.6121925,43.5827714,319886251,9047391,Pharmacy,Retail Pharmacy,N.K.S Health,,,,130 Dundas Street  E,500,,Mississauga,L5A3V8,2024/06/25 13:36:57+00,2024/06/25 11:57:53+00,2024/06/25 21:54:59+00,2067345
-79.5076826,43.6232434,319884545,7048358,Pharmacy,Retail Pharmacy,Costco Pharmacy #524,,,,50 Queen Elizabeth Boulevard,,,Etobicoke,M8Z1M1,2024/06/25 13:37:15+00,2024/06/25 11:53:58+00,2024/06/25 21:54:59+00,2067361
-81.505107,43.4335426,319881611,2591118,Pharmacy,Retail Pharmacy,Hensall Pharmacy,,,,121 King Street,,,Hensall,N0M1X0,2024/06/25 13:36:01+00,2024/06/25 11:47:58+00,2024/06/25 21:54:59+00,2067377
-79.3992276,43.6414514000001,319886465,9219179,Pharmacy,Retail Pharmacy,Wholehealth Phcy Fashion Dist,,,,550 Front Street  W,57,,Toronto,M5V3N5,2024/06/25 13:33:25+00,2024/06/25 11:58:37+00,2024/06/25 21:54:59+00,2067393
-79.8013275,43.3178065,319880096,30633,Mental Health and Addiction Organization,Mental Health Services,Burlington Family Health Team,,,,1221 Lakeshore Road,,Administration and Practice Location,Burlington,L7S0A1,2024/06/25 13:34:17+00,2024/06/25 11:44:35+00,2024/06/25 21:54:59+00,2067409
-83.0147741,42.2433965,319879224,4791,Long-Term Care Home,For-Profit,The Village at St. Clair,,,,1800 Talbot Road,,,Windsor,N9H0E3,2024/06/25 13:34:29+00,2024/06/25 11:42:39+00,2024/06/25 21:54:59+00,2067425
-79.3828476,43.6617454,319879107,4553,Community Support Services,,Nabors-Neighbours Allied For Better Opportunities In Residential Support,,Toronto Better Opport In Resid Supp,,2 Carlton Street,Suite 1001,,Toronto,M5B1J3,2024/06/25 13:36:28+00,2024/06/25 11:42:24+00,2024/06/25 21:54:59+00,2067441
-83.0127886,42.2732328,319884210,6625896,Pharmacy,Retail Pharmacy,Dougall Pharmacy,,,,3020 Dougall Av,1,,Windsor,N9E1S4,2024/06/25 13:35:39+00,2024/06/25 11:53:18+00,2024/06/25 21:54:59+00,2067457
-81.0008297,43.3675836,319877066,1753,Long-Term Care Home,Municipal,Spruce Lodge Home for the Aged,,,,643 West Gore Street,,,Stratford,N5A1L4,2024/06/25 13:34:57+00,2024/06/25 11:37:33+00,2024/06/25 21:54:59+00,2067473
-80.5191093,43.4159565,319884887,7461098,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,1400 Ottawa Street  S,,,Kitchener,N2E4E2,2024/06/25 13:37:07+00,2024/06/25 11:54:42+00,2024/06/25 21:54:59+00,2067489
-80.2756764,43.1470305,319882642,4473037,Pharmacy,Retail Pharmacy,Avenue Pharmacy,,,,221 Brant Avenue,,,Brantford,N3T3J2,2024/06/25 13:33:53+00,2024/06/25 11:50:11+00,2024/06/25 21:54:59+00,2067505
-76.0128376,44.8813001,319887579,N0067,Licenced Retirement Home,,Chartwell Van Horne Retirement Residence,,,,25 Van Horne Avenue,,,Smiths Falls,K7A5L2,2024/06/25 13:36:45+00,2024/06/25 12:02:01+00,2024/06/25 21:54:59+00,2067521
-79.4093856,43.6517654,319883427,5619976,Pharmacy,Retail Pharmacy,Dundas-Euclid Pharmacy,,,,828 Dundas Street  W,,,Toronto,M6J1V3,2024/06/25 13:37:21+00,2024/06/25 11:51:43+00,2024/06/25 21:54:59+00,2067537
-81.3141597,48.4859901,319880637,609526,Integrated Community Health Services Centre,Obs/Gyn Ultrasound,MyHealth Centre,,,,707 Ross Avenue East,,,Timmins,P4N8R1,2024/06/25 13:36:07+00,2024/06/25 11:45:48+00,2024/06/25 21:54:59+00,2067553
-81.6815549,43.1569936,319885344,8046214,Pharmacy,Long Term Care Facility,Chartwell Parkhill Ltc Residen,,,,250 Tain Street,,,Parkhill,N0M2K0,2024/06/25 13:33:31+00,2024/06/25 11:55:50+00,2024/06/25 21:54:59+00,2067569
-80.4693413,43.4439245,319879401,6428,Mental Health and Addiction Organization,Mental Health Services,Canadian Hearing Services,,,,120 Ottawa Street North,Suite: 200,Practice Location,Kitchener,N2H3K5,2024/06/25 13:34:24+00,2024/06/25 11:43:02+00,2024/06/25 21:54:59+00,2067585
-81.036906,44.1498174,319882729,4615811,Pharmacy,Long Term Care Facility,The Village Seniors Community,,,,101 Tenth Street,,,Hanover,N4N1M9,2024/06/25 13:33:53+00,2024/06/25 11:50:21+00,2024/06/25 21:54:59+00,2067601
-79.2911476,43.6804394,319885891,8645193,Pharmacy,Retail Pharmacy,Beech Medical Pharmacy,,,,856 Kingston Road,,,Toronto,M4E1S3,2024/06/25 13:37:05+00,2024/06/25 11:56:56+00,2024/06/25 21:54:59+00,2067617
-79.8796705,43.2094705,319888014,S0524,Licenced Retirement Home,,The Wellington,,,,1430 Upper Wellington Street,,,Hamilton,L9A5H3,2024/06/25 13:33:08+00,2024/06/25 12:03:27+00,2024/06/25 21:54:59+00,2067633
-75.5251977,45.4597959,319883674,5956557,Pharmacy,Retail Pharmacy,Rexall #95,,,,1615 Orleans Boulevard,,,Orleans,K1C7E2,2024/06/25 13:33:52+00,2024/06/25 11:52:13+00,2024/06/25 21:54:59+00,2067649
-79.8541085,43.2624545,319887359,9000000153,HIV/AIDS and Hep C Programs,HIV Clinical Services,"Hamilton Health Sciences, Special Immunology Services Clinic",,,,237 Barton Street East,,Practice Location,Hamilton,L8L2X2,2024/06/25 13:36:52+00,2024/06/25 12:01:22+00,2024/06/25 21:54:59+00,2067665
-79.3103655,45.1973051,319887660,N0334,Licenced Retirement Home,,The Home in Muskoka,,,,62 South Mary Lake Road,,,Port Sydney,P0B1L0,2024/06/25 13:33:16+00,2024/06/25 12:02:16+00,2024/06/25 21:54:59+00,2067681
-80.4440573,43.2774365,319884033,6400398,Pharmacy,Retail Pharmacy,Macneil & Dodd Pharmacy.,,,,45 Street anley Street,,,Ayr,N0B1E0,2024/06/25 13:33:41+00,2024/06/25 11:52:56+00,2024/06/25 21:54:59+00,2067697
-78.9446817,43.8801484,319878244,3906,Licensed Lab and Specimen Collection Centre Locations,Licensed Specimen Collection Centre Location,Dynacare,,,,220 Dundas Street West,,Practice Address,Whitby,L1N8M7,2024/06/25 13:34:43+00,2024/06/25 11:40:18+00,2024/06/25 21:54:59+00,2067713
-78.9278657,43.8941034,319886052,8832276,Pharmacy,Retail Pharmacy,Pringle Creek Pharmasave,,,,728 Anderson Street,,,Whitby,L1N3V6,2024/06/25 13:37:00+00,2024/06/25 11:57:15+00,2024/06/25 21:54:59+00,2067729
-79.2815746,43.6814434,319886933,9589830,Pharmacy,Retail Pharmacy,Birchcliff Pharmacy,,,,1120 Kingston Road,,,Scarborough,M1N1N8,2024/06/25 13:35:13+00,2024/06/25 11:59:52+00,2024/06/25 21:54:59+00,2067745
